06104,1857.0000000000,100
36.0000610352,18.5400009155,1857.0000000000,100
36.0000610352,18.7200012207,1846.0000000000,100
0.0000000000,18.7200012207,1858.0000000000,100
36.0000610352,18.9000015259,1862.0000000000,100
35.9996795654,19.0799999237,1841.0000000000,100
0.0000000000,19.0799999237,1843.0000000000,100
36.0000610352,19.2600002289,1842.0000000000,100
0.0000000000,19.2600002289,1845.0000000000,100
0.0000000000,19.2600002289,1843.0000000000,100
36.0000610352,19.4400005341,1863.0000000000,100
0.0000000000,19.4400005341,1846.0000000000,100
0.0000000000,19.4400005341,1856.0000000000,100
0.0000000000,19.4400005341,1832.0000000000,100
0.0000000000,19.4400005341,1864.0000000000,100
36.0000610352,19.6200008392,1853.0000000000,100
0.0000000000,19.6200008392,1863.0000000000,100
0.0000000000,19.6200008392,1854.0000000000,100
0.0000000000,19.6200008392,1871.0000000000,100
0.0000000000,19.6200008392,1842.0000000000,100
-36.0000610352,19.4400005341,1869.0000000000,100
0.0000000000,19.4400005341,1842.0000000000,100
0.0000000000,19.4400005341,1859.0000000000,100
0.0000000000,19.4400005341,1853.0000000000,100
0.0000000000,19.4400005341,1851.0000000000,100
-36.0000610352,19.2600002289,1852.0000000000,100
0.0000000000,19.2600002289,1860.0000000000,100
-36.0000610352,19.0799999237,1852.0000000000,100
0.0000000000,19.0799999237,1857.0000000000,100
0.0000000000,19.0799999237,1847.0000000000,100
-35.9996795654,18.9000015259,1873.0000000000,100
0.0000000000,18.9000015259,1861.0000000000,100
-36.0000610352,18.7200012207,1845.0000000000,100
-36.0000610352,18.5400009155,1860.0000000000,100
0.0000000000,18.5400009155,1865.0000000000,100
-36.0000610352,18.3600006104,1856.0000000000,100
-36.0000610352,18.1800003052,1843.0000000000,100
0.0000000000,18.1800003052,1867.0000000000,100
-36.0000610352,18.0000000000,1856.0000000000,100
-35.9996795654,17.8200016022,1845.0000000000,100
-36.0000610352,17.6400012970,1840.0000000000,100
-36.0000610352,17.4600009918,1855.0000000000,100
-36.0000610352,17.2800006866,1851.0000000000,100
-36.0000610352,17.1000003815,1848.0000000000,100
-36.0000610352,16.9200000763,1851.0000000000,100
-36.0000610352,16.9200000763,1851.0000000000,100
-35.9996795654,16.5600013733,1861.0000000000,100
-36.0000610352,16.3800010681,1855.0000000000,100
-36.0000610352,16.2000007629,1855.0000000000,100
-36.0000610352,16.0200004578,1855.0000000000,100
-36.0000610352,15.8400001526,1859.0000000000,100
-35.9998703003,15.6600008011,1849.0000000000,100
-36.0000610352,15.4800004959,1847.0000000000,100
-36.0000610352,15.3000001907,1851.0000000000,100
-35.9998703003,15.1200008392,1844.0000000000,100
-72.0001220703,14.7600002289,1847.0000000000,100
-35.9998703003,14.5800008774,1842.0000000000,100
-36.0000610352,14.4000005722,1845.0000000000,100
